,Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target,Binned 1st Semester,Binned 2nd Semester
0,1,8,5,2,1,1,1,1,1,1,1,1,0,0,1,1,0,20,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Dropout,Very Low GPA,Very Low GPA
1,1,6,1,11,1,1,1,1,1,1,1,1,0,0,0,1,0,19,0,0,6,6,6,14.0,0,0,6,6,6,13.666666666666666,0,13.9,-0.3,0.79,Graduate,Above Average GPA,Average GPA
2,1,1,5,5,1,1,1,1,1,1,1,1,0,0,0,1,0,19,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,10.8,1.4,1.74,Dropout,Very Low GPA,Very Low GPA
3,1,8,2,15,1,1,1,1,1,1,1,1,0,0,1,0,0,20,0,0,6,8,6,13.428571428571429,0,0,6,10,5,12.4,0,9.4,-0.8,-3.12,Graduate,Average GPA,Average GPA
4,2,12,1,3,0,1,1,2,2,2,2,0,0,0,1,0,0,45,0,0,6,9,5,12.333333333333334,0,0,6,6,6,13.0,0,13.9,-0.3,0.79,Graduate,Average GPA,Average GPA
5,2,12,1,17,0,12,1,2,2,2,2,0,0,1,1,1,0,50,0,0,5,10,5,11.857142857142858,0,0,5,17,5,11.5,5,16.2,0.3,-0.92,Graduate,Low GPA,Low GPA
6,1,1,1,12,1,1,1,1,1,1,1,1,0,0,1,0,1,18,0,0,7,9,7,13.3,0,0,8,8,8,14.345,0,15.5,2.8,-4.06,Graduate,Average GPA,Above Average GPA
7,1,9,4,11,1,1,1,1,1,1,1,1,0,0,0,1,0,22,0,0,5,5,0,0.0,0,0,5,5,0,0.0,0,15.5,2.8,-4.06,Dropout,Very Low GPA,Very Low GPA
8,1,1,3,10,1,1,15,1,1,1,1,0,0,0,1,0,1,21,1,0,6,8,6,13.875,0,0,6,7,6,14.142857142857142,0,16.2,0.3,-0.92,Graduate,Average GPA,Above Average GPA
9,1,1,1,10,1,1,1,1,1,1,1,1,0,1,0,0,0,18,0,0,6,9,5,11.4,0,0,6,14,2,13.5,0,8.9,1.4,3.51,Dropout,Low GPA,Average GPA
10,1,1,1,14,1,1,1,1,1,1,1,1,0,0,1,0,0,18,0,0,6,6,6,12.333333333333334,0,0,6,7,5,14.2,0,13.9,-0.3,0.79,Graduate,Average GPA,Above Average GPA
11,1,1,1,12,1,1,1,1,1,1,1,1,0,0,1,0,1,18,0,0,8,8,7,13.214285714285714,0,0,8,8,7,13.214285714285714,0,12.7,3.7,-1.7,Graduate,Average GPA,Average GPA
12,1,1,2,16,1,1,1,1,1,1,1,1,0,0,1,0,0,19,0,0,6,6,0,0.0,0,0,6,0,0,0.0,0,12.7,3.7,-1.7,Dropout,Very Low GPA,Very Low GPA
13,1,17,1,11,1,16,1,1,1,1,1,1,0,0,1,0,1,21,0,0,6,7,6,10.571428571428571,0,0,6,8,5,11.0,0,8.9,1.4,3.51,Graduate,Low GPA,Low GPA
14,1,1,1,6,1,1,1,1,1,1,1,1,0,0,1,0,1,18,0,0,5,7,4,13.25,0,0,5,5,5,12.0,0,10.8,1.4,1.74,Graduate,Average GPA,Average GPA
15,1,1,1,15,1,1,1,1,1,1,1,1,0,0,1,0,0,20,0,0,6,6,5,13.2,0,0,6,7,0,0.0,0,15.5,2.8,-4.06,Dropout,Average GPA,Very Low GPA
17,1,8,2,12,1,1,1,1,1,1,1,1,0,0,1,0,0,18,0,0,7,8,7,13.30625,0,0,8,8,8,14.545,0,15.5,2.8,-4.06,Graduate,Average GPA,Above Average GPA
18,1,1,1,8,1,1,1,1,1,1,1,1,0,0,1,0,0,20,0,0,5,8,4,12.5,1,0,5,8,4,12.25,2,10.8,1.4,1.74,Graduate,Average GPA,Average GPA
20,1,1,3,2,1,1,1,1,1,1,1,0,0,0,1,0,1,21,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,11.1,0.6,2.02,Graduate,Very Low GPA,Very Low GPA
22,1,1,4,12,1,1,1,1,1,1,1,1,0,0,1,0,0,18,0,0,8,12,7,12.857142857142858,0,0,8,12,7,12.857142857142858,0,12.7,3.7,-1.7,Graduate,Average GPA,Average GPA
23,1,1,4,14,1,1,1,1,1,1,1,1,0,0,1,0,1,19,0,0,6,8,6,13.375,0,0,6,7,6,12.285714285714286,0,11.1,0.6,2.02,Graduate,Average GPA,Average GPA
24,1,1,1,12,1,1,1,1,1,1,1,0,0,0,1,0,0,19,0,0,7,8,6,13.296666666666669,0,0,8,9,7,14.114285714285714,0,11.1,0.6,2.02,Graduate,Average GPA,Above Average GPA
26,1,8,2,10,1,1,1,1,1,1,1,1,0,0,1,0,0,21,0,0,6,9,6,11.375,0,0,6,9,6,13.285714285714286,0,16.2,0.3,-0.92,Graduate,Low GPA,Average GPA
28,1,1,1,9,1,1,1,1,1,1,1,1,0,0,1,0,0,20,0,0,5,6,5,12.0,0,0,5,6,5,12.333333333333334,0,16.2,0.3,-0.92,Graduate,Average GPA,Average GPA
31,1,16,1,5,1,1,1,1,1,1,1,1,0,0,1,1,0,20,0,2,6,7,6,12.833333333333334,0,0,6,9,4,13.4,0,8.9,1.4,3.51,Graduate,Average GPA,Average GPA
33,1,9,1,3,0,1,1,1,1,1,1,1,0,0,1,0,0,19,0,0,6,6,6,12.666666666666666,0,0,6,8,6,14.375,0,12.4,0.5,1.79,Graduate,Average GPA,Above Average GPA
34,1,1,1,17,0,1,1,1,1,1,1,0,0,0,1,1,0,34,0,0,5,6,5,12.4,0,0,5,9,5,13.428571428571429,0,13.9,-0.3,0.79,Graduate,Average GPA,Average GPA
35,1,12,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,37,0,0,7,7,0,0.0,0,0,7,7,1,10.0,0,8.9,1.4,3.51,Dropout,Very Low GPA,Low GPA
36,1,12,1,7,1,8,1,1,1,1,1,1,0,0,1,1,0,43,0,0,5,0,0,0.0,0,0,5,0,0,0.0,0,7.6,2.6,0.32,Dropout,Very Low GPA,Very Low GPA
37,1,14,1,9,1,1,1,1,1,1,1,0,0,0,1,0,0,55,0,0,5,10,1,10.0,0,0,5,8,2,12.0,2,16.2,0.3,-0.92,Dropout,Low GPA,Average GPA
38,4,12,1,17,0,1,1,4,4,4,4,1,0,0,1,0,0,39,0,0,5,8,5,11.0,0,0,5,5,5,11.6,0,7.6,2.6,0.32,Graduate,Low GPA,Low GPA
39,1,15,1,8,1,14,3,1,1,1,1,0,0,1,0,0,0,20,1,2,6,13,3,11.666666666666666,0,1,6,11,3,12.0,0,12.4,0.5,1.79,Dropout,Low GPA,Average GPA
40,1,1,5,15,1,1,1,1,1,1,1,0,0,1,1,0,0,18,0,0,6,6,4,12.75,0,0,5,5,0,0.0,0,12.7,3.7,-1.7,Dropout,Average GPA,Very Low GPA
41,1,1,2,9,1,1,1,1,1,1,1,1,0,0,1,0,0,22,0,0,5,5,5,14.8,0,0,5,5,5,15.8,0,8.9,1.4,3.51,Graduate,Above Average GPA,Above Average GPA
42,1,1,6,12,1,1,1,1,1,1,1,1,1,0,1,0,0,22,0,0,7,9,5,13.928,0,0,8,9,7,14.342857142857142,0,11.1,0.6,2.02,Graduate,Average GPA,Above Average GPA
43,1,8,1,15,1,1,1,1,1,1,1,0,0,0,0,0,0,20,0,0,6,7,4,13.0,0,0,6,7,5,13.8,0,12.4,0.5,1.79,Dropout,Average GPA,Average GPA
44,1,12,1,17,0,1,1,1,1,1,1,0,0,0,1,0,0,29,0,0,5,0,0,0.0,0,0,5,0,0,0.0,0,16.2,0.3,-0.92,Dropout,Very Low GPA,Very Low GPA
46,1,8,2,10,1,1,1,1,1,1,1,1,0,0,1,0,0,18,0,0,6,6,6,11.666666666666666,0,0,6,8,5,13.2,0,11.1,0.6,2.02,Graduate,Low GPA,Average GPA
47,1,8,6,12,1,1,1,1,1,1,1,1,0,0,1,0,1,22,0,0,7,8,6,13.516666666666666,0,0,8,9,7,13.771428571428572,0,11.1,0.6,2.02,Graduate,Average GPA,Average GPA
48,1,15,1,3,0,14,1,1,1,1,1,0,0,0,1,0,1,21,0,3,6,6,6,11.5,0,2,6,7,6,13.285714285714286,0,12.4,0.5,1.79,Graduate,Low GPA,Average GPA
49,1,1,1,10,1,1,1,1,1,1,1,0,0,0,1,0,1,19,0,0,6,7,5,12.333333333333334,0,0,6,7,6,12.833333333333334,0,12.7,3.7,-1.7,Graduate,Average GPA,Average GPA
